date,symbol,marketcapname,sector
12-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
12-09-2025 11:30:00 AM,TVSMOTOR,Largecap,Auto
12-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
12-09-2025 11:30:00 AM,LTF,Largecap,Financials
15-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
15-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
15-09-2025 11:30:00 AM,FORTIS,Largecap,Healthcare
15-09-2025 11:30:00 AM,LTF,Largecap,Financials
16-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
16-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
16-09-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
16-09-2025 11:30:00 AM,LTF,Largecap,Financials
17-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
17-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
17-09-2025 11:30:00 AM,LTF,Largecap,Financials
18-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
18-09-2025 11:30:00 AM,TVSMOTOR,Largecap,Auto
18-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
18-09-2025 11:30:00 AM,LTF,Largecap,Financials
18-09-2025 11:30:00 AM,LAURUSLABS,Largecap,Healthcare
19-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
19-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
19-09-2025 11:30:00 AM,LTF,Largecap,Financials
19-09-2025 11:30:00 AM,LAURUSLABS,Largecap,Healthcare
22-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
22-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
22-09-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
23-09-2025 11:30:00 AM,ASHOKLEY,Largecap,Auto
23-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
23-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
23-09-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
24-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
24-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
24-09-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
25-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
25-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
26-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
26-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
29-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
29-09-2025 11:30:00 AM,INDIANB,Largecap,Bank
30-09-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
30-09-2025 11:30:00 AM,MARUTI,Largecap,Auto
30-09-2025 11:30:00 AM,INDIANB,Largecap,Bank
01-10-2025 11:30:00 AM,EICHERMOT,Largecap,Auto
01-10-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
01-10-2025 11:30:00 AM,LTF,Largecap,Financials
03-10-2025 11:30:00 AM,JSWSTEEL,Largecap,Metals & Mining
03-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
03-10-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
03-10-2025 11:30:00 AM,LTF,Largecap,Financials
06-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
06-10-2025 11:30:00 AM,FORTIS,Largecap,Healthcare
06-10-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
06-10-2025 11:30:00 AM,LTF,Largecap,Financials
07-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
07-10-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
07-10-2025 11:30:00 AM,LTF,Largecap,Financials
08-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
08-10-2025 11:30:00 AM,FORTIS,Largecap,Healthcare
08-10-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
09-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
09-10-2025 11:30:00 AM,FORTIS,Largecap,Healthcare
09-10-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
10-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
10-10-2025 11:30:00 AM,FORTIS,Largecap,Healthcare
13-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
13-10-2025 11:30:00 AM,FORTIS,Largecap,Healthcare
14-10-2025 11:30:00 AM,FORTIS,Largecap,Healthcare
15-10-2025 11:30:00 AM,FORTIS,Largecap,Healthcare
15-10-2025 11:30:00 AM,LTF,Largecap,Financials
16-10-2025 11:30:00 AM,FORTIS,Largecap,Healthcare
17-10-2025 11:30:00 AM,TVSMOTOR,Largecap,Auto
17-10-2025 11:30:00 AM,MUTHOOTFIN,Largecap,Financials
20-10-2025 11:30:00 AM,TVSMOTOR,Largecap,Auto
20-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
20-10-2025 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
21-10-2025 11:30:00 AM,TVSMOTOR,Largecap,Auto
21-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
21-10-2025 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
23-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
24-10-2025 11:30:00 AM,CUMMINSIND,Largecap,Industrials
24-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
27-10-2025 11:30:00 AM,FEDERALBNK,Largecap,Bank
27-10-2025 11:30:00 AM,CUMMINSIND,Largecap,Industrials
27-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
28-10-2025 11:30:00 AM,FEDERALBNK,Largecap,Bank
28-10-2025 11:30:00 AM,CUMMINSIND,Largecap,Industrials
28-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
29-10-2025 11:30:00 AM,FEDERALBNK,Largecap,Bank
29-10-2025 11:30:00 AM,CUMMINSIND,Largecap,Industrials
29-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
30-10-2025 11:30:00 AM,FEDERALBNK,Largecap,Bank
30-10-2025 11:30:00 AM,CUMMINSIND,Largecap,Industrials
30-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
30-10-2025 11:30:00 AM,ABCAPITAL,Largecap,Financials
31-10-2025 11:30:00 AM,FEDERALBNK,Largecap,Bank
31-10-2025 11:30:00 AM,CUMMINSIND,Largecap,Industrials
31-10-2025 11:30:00 AM,INDIANB,Largecap,Bank
03-11-2025 10:30:00 AM,SBIN,Largecap,Bank
03-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
03-11-2025 10:30:00 AM,CUMMINSIND,Largecap,Industrials
03-11-2025 10:30:00 AM,CANBK,Largecap,Bank
03-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
03-11-2025 10:30:00 AM,LTF,Largecap,Financials
03-11-2025 10:30:00 AM,LAURUSLABS,Largecap,Healthcare
03-11-2025 10:30:00 AM,ABCAPITAL,Largecap,Financials
04-11-2025 10:30:00 AM,SBIN,Largecap,Bank
04-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
04-11-2025 10:30:00 AM,CANBK,Largecap,Bank
04-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
04-11-2025 10:30:00 AM,LTF,Largecap,Financials
04-11-2025 10:30:00 AM,LAURUSLABS,Largecap,Healthcare
04-11-2025 10:30:00 AM,ABCAPITAL,Largecap,Financials
06-11-2025 10:30:00 AM,SBIN,Largecap,Bank
06-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
06-11-2025 10:30:00 AM,CANBK,Largecap,Bank
06-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
06-11-2025 10:30:00 AM,LAURUSLABS,Largecap,Healthcare
07-11-2025 10:30:00 AM,SBIN,Largecap,Bank
07-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
07-11-2025 10:30:00 AM,CANBK,Largecap,Bank
07-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
07-11-2025 10:30:00 AM,LTF,Largecap,Financials
07-11-2025 10:30:00 AM,LAURUSLABS,Largecap,Healthcare
07-11-2025 10:30:00 AM,ABCAPITAL,Largecap,Financials
10-11-2025 10:30:00 AM,SBIN,Largecap,Bank
10-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
10-11-2025 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
10-11-2025 10:30:00 AM,CANBK,Largecap,Bank
10-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
10-11-2025 10:30:00 AM,LTF,Largecap,Financials
10-11-2025 10:30:00 AM,LAURUSLABS,Largecap,Healthcare
11-11-2025 10:30:00 AM,SBIN,Largecap,Bank
11-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
11-11-2025 10:30:00 AM,CUMMINSIND,Largecap,Industrials
11-11-2025 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
11-11-2025 10:30:00 AM,CANBK,Largecap,Bank
11-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
11-11-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
11-11-2025 10:30:00 AM,LTF,Largecap,Financials
12-11-2025 10:30:00 AM,SBIN,Largecap,Bank
12-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
12-11-2025 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
12-11-2025 10:30:00 AM,CANBK,Largecap,Bank
12-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
13-11-2025 10:30:00 AM,SBIN,Largecap,Bank
13-11-2025 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
13-11-2025 10:30:00 AM,CANBK,Largecap,Bank
13-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
14-11-2025 10:30:00 AM,SBIN,Largecap,Bank
14-11-2025 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
14-11-2025 10:30:00 AM,CANBK,Largecap,Bank
14-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
14-11-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
17-11-2025 10:30:00 AM,SBIN,Largecap,Bank
17-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
17-11-2025 10:30:00 AM,CANBK,Largecap,Bank
17-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
17-11-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
17-11-2025 10:30:00 AM,LTF,Largecap,Financials
18-11-2025 10:30:00 AM,SBIN,Largecap,Bank
18-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
18-11-2025 10:30:00 AM,CANBK,Largecap,Bank
18-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
18-11-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
19-11-2025 10:30:00 AM,SBIN,Largecap,Bank
19-11-2025 10:30:00 AM,HEROMOTOCO,Largecap,Auto
19-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
19-11-2025 10:30:00 AM,CANBK,Largecap,Bank
19-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
19-11-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
20-11-2025 10:30:00 AM,SBIN,Largecap,Bank
20-11-2025 10:30:00 AM,HEROMOTOCO,Largecap,Auto
20-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
20-11-2025 10:30:00 AM,CANBK,Largecap,Bank
20-11-2025 10:30:00 AM,INDIANB,Largecap,Bank
20-11-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
21-11-2025 10:30:00 AM,SBIN,Largecap,Bank
21-11-2025 10:30:00 AM,HEROMOTOCO,Largecap,Auto
21-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
24-11-2025 10:30:00 AM,HEROMOTOCO,Largecap,Auto
24-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
25-11-2025 10:30:00 AM,SBIN,Largecap,Bank
25-11-2025 10:30:00 AM,HEROMOTOCO,Largecap,Auto
25-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
25-11-2025 10:30:00 AM,CANBK,Largecap,Bank
26-11-2025 10:30:00 AM,SBIN,Largecap,Bank
26-11-2025 10:30:00 AM,HEROMOTOCO,Largecap,Auto
26-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
26-11-2025 10:30:00 AM,CANBK,Largecap,Bank
26-11-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
26-11-2025 10:30:00 AM,MCX,Largecap,Financials
26-11-2025 10:30:00 AM,ABCAPITAL,Largecap,Financials
27-11-2025 10:30:00 AM,HEROMOTOCO,Largecap,Auto
27-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
27-11-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
27-11-2025 10:30:00 AM,CANBK,Largecap,Bank
27-11-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
27-11-2025 10:30:00 AM,LTF,Largecap,Financials
27-11-2025 10:30:00 AM,MCX,Largecap,Financials
27-11-2025 10:30:00 AM,ABCAPITAL,Largecap,Financials
28-11-2025 10:30:00 AM,HEROMOTOCO,Largecap,Auto
28-11-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
28-11-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
28-11-2025 10:30:00 AM,CANBK,Largecap,Bank
28-11-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
28-11-2025 10:30:00 AM,LTF,Largecap,Financials
28-11-2025 10:30:00 AM,ABCAPITAL,Largecap,Financials
01-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
01-12-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
01-12-2025 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
01-12-2025 10:30:00 AM,CANBK,Largecap,Bank
01-12-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
01-12-2025 10:30:00 AM,ABCAPITAL,Largecap,Financials
02-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
02-12-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
02-12-2025 10:30:00 AM,CANBK,Largecap,Bank
02-12-2025 10:30:00 AM,MUTHOOTFIN,Largecap,Financials
02-12-2025 10:30:00 AM,ABCAPITAL,Largecap,Financials
03-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
03-12-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
04-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
05-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
05-12-2025 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
08-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
09-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
09-12-2025 10:30:00 AM,ABCAPITAL,Largecap,Financials
10-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
11-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
12-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
15-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
15-12-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
16-12-2025 10:30:00 AM,VEDL,Largecap,Metals & Mining
16-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
16-12-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
17-12-2025 10:30:00 AM,VEDL,Largecap,Metals & Mining
17-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
18-12-2025 10:30:00 AM,VEDL,Largecap,Metals & Mining
18-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
18-12-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
19-12-2025 10:30:00 AM,VEDL,Largecap,Metals & Mining
19-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
19-12-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
19-12-2025 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
22-12-2025 10:30:00 AM,VEDL,Largecap,Metals & Mining
22-12-2025 10:30:00 AM,FEDERALBNK,Largecap,Bank
22-12-2025 10:30:00 AM,ASHOKLEY,Largecap,Auto
